term,language,type,decade,count
sancti,Latin,common_term,1500,258
doctoris,Latin,common_term,1500,300
holy,English,common_term,1500,50
man,English,common_term,1500,26
vie,French,common_term,1500,43
vita,Italian,common_term,1500,53
reichs,German,common_term,1500,33
morte,Italian,common_term,1500,18
heeren,Dutch,common_term,1500,6
gottes,German,common_term,1500,14
guerre,French,common_term,1500,13
historia,Spanish,common_term,1500,5
vida,Spanish,common_term,1500,2
andere,Dutch,common_term,1500,1
doctoris,Latin,common_term,1510,531
man,English,common_term,1510,45
sancti,Latin,common_term,1510,267
holy,English,common_term,1510,80
reichs,German,common_term,1510,11
vie,French,common_term,1510,22
vida,Spanish,common_term,1510,14
gottes,German,common_term,1510,46
morte,Italian,common_term,1510,18
guerre,French,common_term,1510,5
vita,Italian,common_term,1510,43
andere,Dutch,common_term,1510,4
heeren,Dutch,common_term,1510,9
historia,Spanish,common_term,1510,8
sancti,Latin,common_term,1520,184
gottes,German,common_term,1520,699
doctoris,Latin,common_term,1520,244
holy,English,common_term,1520,90
man,English,common_term,1520,259
vida,Spanish,common_term,1520,11
reichs,German,common_term,1520,119
vita,Italian,common_term,1520,71
vie,French,common_term,1520,21
heeren,Dutch,common_term,1520,14
morte,Italian,common_term,1520,16
historia,Spanish,common_term,1520,17
guerre,French,common_term,1520,14
andere,Dutch,common_term,1520,1
guerre,French,common_term,1530,28
sancti,Latin,common_term,1530,106
gottes,German,common_term,1530,187
doctoris,Latin,common_term,1530,206
reichs,German,common_term,1530,98
vita,Italian,common_term,1530,74
man,English,common_term,1530,308
holy,English,common_term,1530,234
historia,Spanish,common_term,1530,39
vie,French,common_term,1530,38
morte,Italian,common_term,1530,25
vida,Spanish,common_term,1530,9
heeren,Dutch,common_term,1530,9
andere,Dutch,common_term,1530,4
holy,English,common_term,1540,286
vita,Italian,common_term,1540,195
doctoris,Latin,common_term,1540,154
guerre,French,common_term,1540,45
sancti,Latin,common_term,1540,151
man,English,common_term,1540,524
vie,French,common_term,1540,60
gottes,German,common_term,1540,183
historia,Spanish,common_term,1540,29
vida,Spanish,common_term,1540,25
reichs,German,common_term,1540,109
morte,Italian,common_term,1540,71
andere,Dutch,common_term,1540,5
heeren,Dutch,common_term,1540,21
doctoris,Latin,common_term,1550,229
man,English,common_term,1550,258
vida,Spanish,common_term,1550,51
holy,English,common_term,1550,244
gottes,German,common_term,1550,307
guerre,French,common_term,1550,84
vita,Italian,common_term,1550,203
vie,French,common_term,1550,64
reichs,German,common_term,1550,59
sancti,Latin,common_term,1550,114
historia,Spanish,common_term,1550,150
andere,Dutch,common_term,1550,8
morte,Italian,common_term,1550,77
heeren,Dutch,common_term,1550,40
doctoris,Latin,common_term,1560,228
historia,Spanish,common_term,1560,65
vita,Italian,common_term,1560,172
holy,English,common_term,1560,347
andere,Dutch,common_term,1560,9
gottes,German,common_term,1560,314
man,English,common_term,1560,171
sancti,Latin,common_term,1560,129
morte,Italian,common_term,1560,93
heeren,Dutch,common_term,1560,70
reichs,German,common_term,1560,69
vie,French,common_term,1560,47
vida,Spanish,common_term,1560,18
guerre,French,common_term,1560,46
holy,English,common_term,1570,465
sancti,Latin,common_term,1570,84
man,English,common_term,1570,245
doctoris,Latin,common_term,1570,255
vie,French,common_term,1570,107
guerre,French,common_term,1570,72
vida,Spanish,common_term,1570,30
historia,Spanish,common_term,1570,97
gottes,German,common_term,1570,267
vita,Italian,common_term,1570,201
andere,Dutch,common_term,1570,50
heeren,Dutch,common_term,1570,152
reichs,German,common_term,1570,81
morte,Italian,common_term,1570,70
doctoris,Latin,common_term,1580,366
guerre,French,common_term,1580,85
heeren,Dutch,common_term,1580,108
gottes,German,common_term,1580,243
morte,Italian,common_term,1580,108
andere,Dutch,common_term,1580,31
man,English,common_term,1580,235
historia,Spanish,common_term,1580,187
sancti,Latin,common_term,1580,152
holy,English,common_term,1580,406
vita,Italian,common_term,1580,255
vie,French,common_term,1580,160
vida,Spanish,common_term,1580,60
reichs,German,common_term,1580,73
holy,English,common_term,1590,407
doctoris,Latin,common_term,1590,300
vie,French,common_term,1590,90
sancti,Latin,common_term,1590,103
heeren,Dutch,common_term,1590,113
man,English,common_term,1590,415
guerre,French,common_term,1590,62
vita,Italian,common_term,1590,208
historia,Spanish,common_term,1590,216
morte,Italian,common_term,1590,88
gottes,German,common_term,1590,220
reichs,German,common_term,1590,85
vida,Spanish,common_term,1590,98
andere,Dutch,common_term,1590,20
morte,Italian,common_term,15u0,8
vita,Italian,common_term,15u0,10
man,English,common_term,15u0,23
sancti,Latin,common_term,15u0,9
historia,Spanish,common_term,15u0,4
holy,English,common_term,15u0,6
gottes,German,common_term,15u0,10
heeren,Dutch,common_term,15u0,3
vie,French,common_term,15u0,3
doctoris,Latin,common_term,15u0,8
vida,Spanish,common_term,15u0,3
reichs,German,common_term,15u0,5
reichs,German,common_term,1600,60
vita,Italian,common_term,1600,217
doctoris,Latin,common_term,1600,287
historia,Spanish,common_term,1600,231
man,English,common_term,1600,515
vida,Spanish,common_term,1600,117
morte,Italian,common_term,1600,104
andere,Dutch,common_term,1600,76
heeren,Dutch,common_term,1600,262
sancti,Latin,common_term,1600,193
holy,English,common_term,1600,575
gottes,German,common_term,1600,155
guerre,French,common_term,1600,65
vie,French,common_term,1600,174
