term	language	type	decade	count
right	Latin	search_term	1500	159
king, queen	English	search_term	1500	41
king, queen	French	search_term	1500	143
nation, people	English	search_term	1500	17
king, queen	Latin	search_term	1500	162
right	German	search_term	1500	18
science	Latin	search_term	1500	15
king, queen	Spanish	search_term	1500	19
law	Spanish	search_term	1500	17
state	English	search_term	1500	3
king, queen	Italian	search_term	1500	23
law	Latin	search_term	1500	19
right	French	search_term	1500	8
nation, people	French	search_term	1500	18
right	English	search_term	1500	15
monarchy	French	search_term	1500	4
law	English	search_term	1500	4
republic	Latin	search_term	1500	18
state	Italian	search_term	1500	3
philosophy	French	search_term	1500	2
science	French	search_term	1500	4
violence	English	search_term	1500	1
right	Dutch	search_term	1500	5
law	Dutch	search_term	1500	1
justice	English	search_term	1500	4
justice	French	search_term	1500	6
violence	German	search_term	1500	1
philosophy	Spanish	search_term	1500	1
law	French	search_term	1500	2
republic	English	search_term	1500	1
philosophy	German	search_term	1500	2
science	English	search_term	1500	1
republic	French	search_term	1500	1
nation, people	Spanish	search_term	1500	2
nation, people	German	search_term	1500	1
revolution	French	search_term	1500	1
state	French	search_term	1500	2
sancti	Latin	common_term	1500	258
doctoris	Latin	common_term	1500	300
holy	English	common_term	1500	50
man	English	common_term	1500	26
vie	French	common_term	1500	43
vita	Italian	common_term	1500	53
reichs	German	common_term	1500	33
morte	Italian	common_term	1500	18
heeren	Dutch	common_term	1500	6
gottes	German	common_term	1500	14
guerre	French	common_term	1500	13
historia	Spanish	common_term	1500	5
vida	Spanish	common_term	1500	2
andere	Dutch	common_term	1500	1
right	Latin	search_term	1510	255
right	English	search_term	1510	9
monarchy	French	search_term	1510	4
king, queen	Spanish	search_term	1510	33
right	German	search_term	1510	19
king, queen	English	search_term	1510	31
nation, people	English	search_term	1510	37
king, queen	Latin	search_term	1510	275
right	French	search_term	1510	4
science	French	search_term	1510	6
republic	Latin	search_term	1510	28
right	Dutch	search_term	1510	2
law	Latin	search_term	1510	32
violence	German	search_term	1510	10
law	English	search_term	1510	8
philosophy	French	search_term	1510	6
right	Italian	search_term	1510	1
king, queen	Italian	search_term	1510	27
justice	German	search_term	1510	16
law	Spanish	search_term	1510	6
Enlightenment	French	search_term	1510	1
nation, people	French	search_term	1510	3
king, queen	German	search_term	1510	6
science	Latin	search_term	1510	6
monarchy	Latin	search_term	1510	6
nation, people	Spanish	search_term	1510	2
right	Spanish	search_term	1510	1
justice	French	search_term	1510	2
state	Italian	search_term	1510	1
king, queen	French	search_term	1510	1
justice	Latin	search_term	1510	1
philosophy	English	search_term	1510	1
law	Italian	search_term	1510	1
doctoris	Latin	common_term	1510	531
man	English	common_term	1510	45
sancti	Latin	common_term	1510	267
holy	English	common_term	1510	80
reichs	German	common_term	1510	11
vie	French	common_term	1510	22
vida	Spanish	common_term	1510	14
gottes	German	common_term	1510	46
morte	Italian	common_term	1510	18
guerre	French	common_term	1510	5
vita	Italian	common_term	1510	43
andere	Dutch	common_term	1510	4
heeren	Dutch	common_term	1510	9
historia	Spanish	common_term	1510	8
right	German	search_term	1520	527
king, queen	German	search_term	1520	24
king, queen	English	search_term	1520	40
king, queen	Italian	search_term	1520	54
right	English	search_term	1520	33
king, queen	Spanish	search_term	1520	46
justice	Spanish	search_term	1520	5
right	Dutch	search_term	1520	9
law	Dutch	search_term	1520	5
violence	German	search_term	1520	93
right	Latin	search_term	1520	193
science	Latin	search_term	1520	32
nation, people	English	search_term	1520	98
philosophy	Italian	search_term	1520	1
king, queen	Latin	search_term	1520	249
law	Latin	search_term	1520	32
justice	French	search_term	1520	5
justice	German	search_term	1520	27
republic	Latin	search_term	1520	37
nation, people	French	search_term	1520	14
law	Spanish	search_term	1520	17
state	German	search_term	1520	3
state	Italian	search_term	1520	7
science	English	search_term	1520	12
philosophy	French	search_term	1520	6
law	English	search_term	1520	10
monarchy	Latin	search_term	1520	1
state	Spanish	search_term	1520	3
state	English	search_term	1520	7
science	French	search_term	1520	5
justice	Italian	search_term	1520	1
king, queen	French	search_term	1520	1
science	Italian	search_term	1520	3
right	French	search_term	1520	4
justice	English	search_term	1520	2
law	Italian	search_term	1520	1
justice	Latin	search_term	1520	2
republic	Spanish	search_term	1520	1
nation, people	Latin	search_term	1520	1
nation, people	Spanish	search_term	1520	1
sancti	Latin	common_term	1520	184
gottes	German	common_term	1520	699
doctoris	Latin	common_term	1520	244
holy	English	common_term	1520	90
man	English	common_term	1520	259
vida	Spanish	common_term	1520	11
reichs	German	common_term	1520	119
vita	Italian	common_term	1520	71
vie	French	common_term	1520	21
heeren	Dutch	common_term	1520	14
morte	Italian	common_term	1520	16
historia	Spanish	common_term	1520	17
guerre	French	common_term	1520	14
andere	Dutch	common_term	1520	1
right	English	search_term	1530	15
law	Spanish	search_term	1530	14
right	Latin	search_term	1530	301
right	German	search_term	1530	213
king, queen	Latin	search_term	1530	263
law	Latin	search_term	1530	73
king, queen	Italian	search_term	1530	61
nation, people	English	search_term	1530	92
king, queen	Spanish	search_term	1530	30
king, queen	English	search_term	1530	21
state	English	search_term	1530	21
law	English	search_term	1530	18
justice	German	search_term	1530	50
state	Italian	search_term	1530	14
monarchy	Latin	search_term	1530	13
science	French	search_term	1530	9
justice	French	search_term	1530	15
nation, people	French	search_term	1530	13
science	Latin	search_term	1530	12
law	Italian	search_term	1530	7
violence	German	search_term	1530	38
state	Spanish	search_term	1530	2
nation, people	Spanish	search_term	1530	5
science	English	search_term	1530	11
republic	Latin	search_term	1530	20
state	German	search_term	1530	2
republic	French	search_term	1530	1
justice	English	search_term	1530	6
justice	Spanish	search_term	1530	4
king, queen	French	search_term	1530	2
Enlightenment	French	search_term	1530	1
philosophy	French	search_term	1530	2
right	Spanish	search_term	1530	1
law	French	search_term	1530	1
guerre	French	common_term	1530	28
sancti	Latin	common_term	1530	106
gottes	German	common_term	1530	187
doctoris	Latin	common_term	1530	206
reichs	German	common_term	1530	98
vita	Italian	common_term	1530	74
man	English	common_term	1530	308
holy	English	common_term	1530	234
historia	Spanish	common_term	1530	39
vie	French	common_term	1530	38
morte	Italian	common_term	1530	25
vida	Spanish	common_term	1530	9
heeren	Dutch	common_term	1530	9
andere	Dutch	common_term	1530	4
science	Italian	search_term	1540	8
right	Latin	search_term	1540	311
nation, people	English	search_term	1540	235
republic	Latin	search_term	1540	62
science	Latin	search_term	1540	25
king, queen	Latin	search_term	1540	193
state	English	search_term	1540	139
nation, people	French	search_term	1540	24
king, queen	Italian	search_term	1540	127
king, queen	Spanish	search_term	1540	83
right	German	search_term	1540	128
law	Italian	search_term	1540	40
right	English	search_term	1540	105
science	French	search_term	1540	16
violence	German	search_term	1540	22
king, queen	English	search_term	1540	81
law	Spanish	search_term	1540	62
justice	German	search_term	1540	15
justice	French	search_term	1540	15
law	Latin	search_term	1540	62
state	German	search_term	1540	1
justice	Spanish	search_term	1540	3
republic	English	search_term	1540	1
law	English	search_term	1540	13
state	French	search_term	1540	2
right	French	search_term	1540	3
king, queen	French	search_term	1540	5
philosophy	Italian	search_term	1540	1
right	Dutch	search_term	1540	2
state	Italian	search_term	1540	4
state	Spanish	search_term	1540	9
nation, people	Spanish	search_term	1540	7
justice	Latin	search_term	1540	2
justice	English	search_term	1540	6
nation, people	Italian	search_term	1540	4
right	Spanish	search_term	1540	4
revolution	English	search_term	1540	3
monarchy	French	search_term	1540	6
Enlightenment	French	search_term	1540	5
king, queen	German	search_term	1540	7
science	English	search_term	1540	1
republic	French	search_term	1540	2
republic	Spanish	search_term	1540	1
law	French	search_term	1540	1
holy	English	common_term	1540	286
vita	Italian	common_term	1540	195
doctoris	Latin	common_term	1540	154
guerre	French	common_term	1540	45
sancti	Latin	common_term	1540	151
man	English	common_term	1540	524
vie	French	common_term	1540	60
gottes	German	common_term	1540	183
historia	Spanish	common_term	1540	29
vida	Spanish	common_term	1540	25
reichs	German	common_term	1540	109
morte	Italian	common_term	1540	71
andere	Dutch	common_term	1540	5
heeren	Dutch	common_term	1540	21
law	Latin	search_term	1550	80
king, queen	Italian	search_term	1550	136
right	Latin	search_term	1550	486
law	Italian	search_term	1550	51
state	English	search_term	1550	137
right	German	search_term	1550	173
right	English	search_term	1550	149
justice	German	search_term	1550	97
republic	Latin	search_term	1550	184
law	Spanish	search_term	1550	50
law	English	search_term	1550	37
king, queen	Latin	search_term	1550	312
republic	French	search_term	1550	18
philosophy	Italian	search_term	1550	61
king, queen	Spanish	search_term	1550	135
right	French	search_term	1550	5
science	Latin	search_term	1550	16
justice	Spanish	search_term	1550	4
nation, people	English	search_term	1550	76
nation, people	Latin	search_term	1550	5
king, queen	French	search_term	1550	14
king, queen	English	search_term	1550	92
nation, people	French	search_term	1550	37
king, queen	German	search_term	1550	8
philosophy	French	search_term	1550	33
state	Italian	search_term	1550	11
state	Spanish	search_term	1550	12
violence	German	search_term	1550	24
right	Dutch	search_term	1550	14
law	Dutch	search_term	1550	11
monarchy	French	search_term	1550	14
science	Italian	search_term	1550	7
justice	English	search_term	1550	19
nation, people	Spanish	search_term	1550	23
science	French	search_term	1550	6
Enlightenment	French	search_term	1550	7
right	Spanish	search_term	1550	8
justice	French	search_term	1550	13
philosophy	English	search_term	1550	9
monarchy	Latin	search_term	1550	3
republic	Spanish	search_term	1550	16
law	French	search_term	1550	4
state	German	search_term	1550	1
justice	Italian	search_term	1550	1
republic	Italian	search_term	1550	1
revolution	English	search_term	1550	2
justice	Latin	search_term	1550	1
nation, people	Italian	search_term	1550	2
science	English	search_term	1550	1
doctoris	Latin	common_term	1550	229
man	English	common_term	1550	258
vida	Spanish	common_term	1550	51
holy	English	common_term	1550	244
gottes	German	common_term	1550	307
guerre	French	common_term	1550	84
vita	Italian	common_term	1550	203
vie	French	common_term	1550	64
reichs	German	common_term	1550	59
sancti	Latin	common_term	1550	114
historia	Spanish	common_term	1550	150
andere	Dutch	common_term	1550	8
morte	Italian	common_term	1550	77
heeren	Dutch	common_term	1550	40
right	Latin	search_term	1560	542
king, queen	Latin	search_term	1560	404
king, queen	Spanish	search_term	1560	87
law	Italian	search_term	1560	83
