avg(length(title)),lang,decade
303.4875,dut,1500
481.6034,dut,1510
622.5198,dut,1520
662.2774,dut,1530
643.1042,dut,1540
697.4927,dut,1550
769.0621,dut,1560
835.9795,dut,1570
853.6876,dut,1580
929.2613,dut,1590
831.3259,dut,1600
762.0392,dut,1610
747.2845,dut,1620
657.5077,dut,1630
713.1079,dut,1640
691.0416,dut,1650
740.1568,dut,1660
731.4305,dut,1670
699.9329,dut,1680
706.1838,dut,1690
771.4147,dut,1700
609.9655,dut,1710
698.9414,dut,1720
643.8658,dut,1730
695.1687,dut,1740
731.3949,dut,1750
634.3105,dut,1760
606.9762,dut,1770
584.1019,dut,1780
547.5586,dut,1790
407.4628,dut,1800
470.4777,eng,1500
537.1530,eng,1510
609.0371,eng,1520
576.4533,eng,1530
678.7582,eng,1540
717.4080,eng,1550
723.0990,eng,1560
799.7389,eng,1570
867.9064,eng,1580
812.8607,eng,1590
784.8900,eng,1600
822.0298,eng,1610
821.3941,eng,1620
805.2451,eng,1630
1101.2286,eng,1640
1011.7671,eng,1650
883.4199,eng,1660
859.9111,eng,1670
813.2024,eng,1680
819.7341,eng,1690
747.9177,eng,1700
729.7560,eng,1710
752.0411,eng,1720
750.0893,eng,1730
775.4946,eng,1740
732.1863,eng,1750
692.5985,eng,1760
686.1101,eng,1770
672.2711,eng,1780
664.0749,eng,1790
539.6191,eng,1800
562.2776,fre,1500
649.8053,fre,1510
677.0745,fre,1520
668.9335,fre,1530
617.2577,fre,1540
564.1684,fre,1550
627.5834,fre,1560
662.2357,fre,1570
670.3287,fre,1580
631.3633,fre,1590
645.4853,fre,1600
594.2009,fre,1610
604.5295,fre,1620
591.8613,fre,1630
516.4797,fre,1640
582.5567,fre,1650
544.9172,fre,1660
534.1651,fre,1670
549.5592,fre,1680
553.2792,fre,1690
630.0792,fre,1700
646.2882,fre,1710
660.2061,fre,1720
571.8314,fre,1730
534.8828,fre,1740
526.8229,fre,1750
499.6981,fre,1760
520.8989,fre,1770
481.3191,fre,1780
526.5941,fre,1790
408.0716,fre,1800
503.9313,ger,1500
582.6031,ger,1510
526.1042,ger,1520
645.4351,ger,1530
699.4805,ger,1540
718.3551,ger,1550
818.0556,ger,1560
895.0905,ger,1570
976.6437,ger,1580
981.3148,ger,1590
981.6328,ger,1600
1000.8464,ger,1610
977.4498,ger,1620
893.5254,ger,1630
823.4105,ger,1640
843.3659,ger,1650
845.1334,ger,1660
849.6303,ger,1670
883.0157,ger,1680
910.7886,ger,1690
891.0481,ger,1700
937.5529,ger,1710
909.9555,ger,1720
868.9655,ger,1730
799.6962,ger,1740
691.6647,ger,1750
618.8160,ger,1760
497.7351,ger,1770
455.8496,ger,1780
430.2915,ger,1790
357.1592,ger,1800
380.5409,ita,1500
409.4020,ita,1510
431.8715,ita,1520
431.1153,ita,1530
430.6608,ita,1540
456.2758,ita,1550
498.9979,ita,1560
540.7756,ita,1570
490.2593,ita,1580
499.5827,ita,1590
472.6401,ita,1600
476.3019,ita,1610
473.5814,ita,1620
429.0708,ita,1630
445.0608,ita,1640
438.5220,ita,1650
462.2527,ita,1660
479.6588,ita,1670
543.8260,ita,1680
526.3813,ita,1690
545.9039,ita,1700
538.2901,ita,1710
520.8207,ita,1720
508.1183,ita,1730
490.8955,ita,1740
489.5957,ita,1750
477.6133,ita,1760
450.9141,ita,1770
429.6223,ita,1780
419.7657,ita,1790
358.3630,ita,1800
498.9130,lat,1500
621.9277,lat,1510
644.2770,lat,1520
611.9600,lat,1530
592.1909,lat,1540
608.5523,lat,1550
636.2922,lat,1560
641.7417,lat,1570
646.1907,lat,1580
679.2992,lat,1590
668.7246,lat,1600
669.3658,lat,1610
632.7887,lat,1620
609.2798,lat,1630
588.6423,lat,1640
614.9792,lat,1650
598.7480,lat,1660
604.3358,lat,1670
621.2047,lat,1680
600.6850,lat,1690
558.1421,lat,1700
563.1779,lat,1710
565.0137,lat,1720
554.9613,lat,1730
512.4326,lat,1740
492.9471,lat,1750
487.0046,lat,1760
491.8245,lat,1770
481.2927,lat,1780
503.6440,lat,1790
492.5669,lat,1800
399.7686,spa,1500
435.5577,spa,1510
544.4782,spa,1520
498.1300,spa,1530
591.4260,spa,1540
645.4222,spa,1550
539.7972,spa,1560
498.1871,spa,1570
541.8295,spa,1580
594.8702,spa,1590
540.1422,spa,1600
541.5697,spa,1610
621.0086,spa,1620
597.3517,spa,1630
643.2505,spa,1640
599.5572,spa,1650
599.3539,spa,1660
624.5465,spa,1670
718.0101,spa,1680
733.8314,spa,1690
687.8770,spa,1700
757.3356,spa,1710
736.6973,spa,1720
694.2712,spa,1730
753.8571,spa,1740
669.0681,spa,1750
680.3837,spa,1760
681.6842,spa,1770
669.6919,spa,1780
589.9722,spa,1790
402.6343,spa,1800
