term	language	type	decade	count
Enlightenment	Dutch	search_term	1660	0.000536960801861
Enlightenment	Dutch	search_term	1670	0.000196656833825
Enlightenment	Dutch	search_term	1760	0.000309885342423
Enlightenment	Dutch	search_term	1780	0.000693481276006
Enlightenment	Dutch	search_term	1790	0.00265051117001
Enlightenment	Dutch	search_term	1800	0.0043795620438
Enlightenment	French	search_term	1510	0.000983284169125
Enlightenment	French	search_term	1530	0.0025367833587
Enlightenment	French	search_term	1540	0.00298507462687
Enlightenment	French	search_term	1550	0.00311241303552
Enlightenment	French	search_term	1560	0.00329597890574
Enlightenment	French	search_term	1570	0.00640825257893
Enlightenment	French	search_term	1580	0.00932858721002
Enlightenment	French	search_term	1590	0.00591606581623
Enlightenment	French	search_term	1600	0.00331313896251
Enlightenment	French	search_term	1610	0.00374482622692
Enlightenment	French	search_term	1620	0.00234852043213
Enlightenment	French	search_term	1630	0.00425038639876
Enlightenment	French	search_term	1640	0.00243577103752
Enlightenment	French	search_term	1650	0.00248802637308
Enlightenment	French	search_term	1660	0.00353181391755
Enlightenment	French	search_term	1670	0.00278551532033
Enlightenment	French	search_term	1680	0.001425201494
Enlightenment	French	search_term	1690	0.000971367778343
Enlightenment	French	search_term	1700	0.00061570938517
Enlightenment	French	search_term	1710	0.00061812883571
Enlightenment	French	search_term	1720	0.00129411764706
Enlightenment	French	search_term	1730	0.00117290957246
Enlightenment	French	search_term	1740	0.00111931162335
Enlightenment	French	search_term	1750	0.0007868548947
Enlightenment	French	search_term	1760	0.000303864780173
Enlightenment	French	search_term	1770	4.66519453861e-05
Enlightenment	French	search_term	1780	0.000115247205255
Enlightenment	French	search_term	1790	3.8071488738e-05
Enlightenment	French	search_term	17u0	0.000793021411578
Enlightenment	German	search_term	1780	0.000134372480516
Enlightenment	Italian	search_term	1580	0.00137478849408
Enlightenment	Italian	search_term	1590	0.000285022089212
Enlightenment	Italian	search_term	1640	0.000206270627063
Enlightenment	Italian	search_term	1650	0.000671140939597
Enlightenment	Italian	search_term	1660	0.000194137060765
Enlightenment	Italian	search_term	1670	0.000170648464164
Enlightenment	Italian	search_term	1680	0.000330797221303
Enlightenment	Italian	search_term	1690	0.000188964474679
Enlightenment	Italian	search_term	1700	0.000667705319386
Enlightenment	Italian	search_term	1710	0.000224870699348
Enlightenment	Italian	search_term	1720	0.000361206429474
Enlightenment	Italian	search_term	1730	0.000177116542685
Enlightenment	Italian	search_term	1740	0.000321646831779
Enlightenment	Italian	search_term	1750	0.000236546422235
Enlightenment	Italian	search_term	1780	0.000221467591909
Enlightenment	Italian	search_term	1790	7.16845878136e-05
justice	Dutch	search_term	1700	0.000242659548653
justice	Dutch	search_term	1750	0.001053001053
justice	Dutch	search_term	1770	0.00121654501217
justice	Dutch	search_term	1790	0.000189322226429
justice	English	search_term	1500	0.000860030101054
justice	English	search_term	1520	0.000960950467371
justice	English	search_term	1530	0.000552835255094
justice	English	search_term	1540	0.000458899787759
justice	English	search_term	1550	0.00190214519708
justice	English	search_term	1560	0.000607410406965
justice	English	search_term	1570	0.0015918230563
justice	English	search_term	1580	0.000727200608204
justice	English	search_term	1590	0.000897250361795
justice	English	search_term	1600	0.000839066957543
justice	English	search_term	1610	0.000965374036903
justice	English	search_term	1620	0.000693361067776
justice	English	search_term	1630	0.00291017074981
justice	English	search_term	1640	0.00971340312339
justice	English	search_term	1650	0.0145984179467
justice	English	search_term	1660	0.0126356984502
justice	English	search_term	1670	0.00949076133701
justice	English	search_term	1680	0.0104246189486
justice	English	search_term	1690	0.00584113928871
justice	English	search_term	16u0	0.000738825267824
justice	English	search_term	1700	0.00748217688996
justice	English	search_term	1710	0.00895208663067
justice	English	search_term	1720	0.00673544206667
